PGC            HYPERLEDA_NAME                    COUNTERPART_NAME                 OBJECT_TYPE   RA          DEC         (m-M)       ERR_(m-M)    DL[Mpc]     ERR_LN(DL)  Kt          ERR_Kt      
165572         PGC165572                         PGC165572                        G             168.89      -15.80      35.16       0.15        107.4       0.068       11.12       0.09        
973888         PGC973888                         PGC973888                        G             78.68       -10.78      35.16       0.15        107.4       0.068       11.14       0.07        
15556          PGC015556                         PGC015556                        G             68.68       8.14        35.16       0.15        107.4       0.069       11.14       0.08        
18903          ESO087-012                        ESO087-012                       G             95.56       -64.73      35.16       0.15        107.4       0.068       11.14       0.19        
46413          NGC5083                           NGC5083                          G             199.76      39.59       35.16       0.15        107.4       0.068       11.15       0.05        
49779          PGC049779                         PGC049779                        G             209.78      -2.38       35.16       0.15        107.4       0.068       11.15       0.12        
910742         PGC910742                         PGC910742                        G             168.10      -15.48      35.16       0.15        107.4       0.068       11.16       0.07        
41254          PGC041254                         PGC041254                        G             187.50      -5.98       35.16       0.15        107.4       0.068       11.16       0.12        
165529         PGC165529                         PGC165529                        G             140.04      -7.38       35.16       0.15        107.4       0.068       11.17       0.06        
3097029        PGC3097029                        PGC3097029                       G             255.99      -29.14      35.16       0.15        107.4       0.068       11.18       0.05        
17805          ESO363-022                        ESO363-022                       G             86.70       -32.58      35.16       0.15        107.4       0.068       11.18       0.13        
1007655        PGC1007655                        PGC1007655                       G             170.60      -8.15       35.16       0.15        107.4       0.068       11.21       0.22        
2150088        PGC2150088                        PGC2150088                       G             52.98       39.46       35.16       0.15        107.4       0.068       11.21       0.10        
75689          PGC075689                         PGC075689                        G             95.50       -64.99      35.16       0.15        107.4       0.068       11.21       0.08        
1468988        PGC1468988                        PGC1468988                       G             279.15      14.86       35.16       0.15        107.4       0.068       11.21       0.06        
16824          PGC016824                         PGC016824                        G             77.27       -0.85       35.16       0.15        107.4       0.068       11.22       0.07        
22093          UGC04070                          UGC04070                         G             118.36      50.23       35.16       0.15        107.4       0.068       11.22       0.08        
1478695        PGC1478695                        PGC1478695                       G             63.43       15.22       35.16       0.15        107.4       0.068       11.22       0.06        
52676          PGC052676                         PGC052676                        G             221.29      9.27        35.16       0.15        107.4       0.068       11.23       0.04        
157404         PGC157404                         PGC157404                        G             181.61      -24.46      35.16       0.15        107.4       0.068       11.24       0.04        
27470          NGC2941                           NGC2941                          G             144.60      17.04       35.16       0.15        107.4       0.068       11.26       0.14        
169989         PGC169989                         PGC169989                        G             6.68        -7.95       35.16       0.15        107.4       0.068       11.26       0.10        
1686175        PGC1686175                        PGC1686175                       G             106.56      23.37       35.16       0.15        107.4       0.068       11.27       0.03        
8979           UGC01824                          UGC01824                         G             35.42       0.26        35.16       0.15        107.4       0.068       11.28       0.12        
45034          PGC045034                         PGC045034                        G             195.72      10.09       35.16       0.15        107.4       0.068       11.29       0.12        
924338         PGC924338                         PGC924338                        G             5.99        -14.46      35.16       0.15        107.4       0.068       11.29       0.15        
3702051        2MASXJ05392614-3757498            2MASXJ05392614-3757498           G             84.86       -37.96      35.16       0.15        107.4       0.068       11.29       0.09        
26164          PGC026164                         PGC026164                        G             139.12      42.14       35.16       0.15        107.4       0.068       11.31       0.17        
204575         PGC204575                         PGC204575                        G             294.41      2.66        35.16       0.15        107.4       0.068       11.31       0.05        
44132          PGC044132                         PGC044132                        G             194.08      5.48        35.16       0.15        107.4       0.068       11.32       0.08        
38516          PGC038516                         PGC038516                        G             182.04      25.08       35.16       0.15        107.4       0.068       11.35       0.10        
24254          PGC024254                         PGC024254                        G             129.49      39.90       35.16       0.15        107.4       0.068       11.36       0.06        
1401294        PGC1401294                        PGC1401294                       G             51.82       11.95       35.16       0.15        107.4       0.068       11.37       0.04        
1467432        PGC1467432                        PGC1467432                       G             42.37       14.80       35.16       0.15        107.4       0.068       11.37       0.08        
138784         PGC138784                         PGC138784                        G             76.72       -19.99      35.16       0.15        107.4       0.068       11.37       0.18        
74248          PGC074248                         PGC074248                        G             44.22       5.87        35.16       0.15        107.4       0.068       11.37       0.07        
2700           PGC002700                         PGC002700                        G             11.56       49.48       35.16       0.15        107.4       0.068       11.39       0.06        
5060778        2MASXJ06595604+3400099            2MASXJ06595604+3400099           G             104.98      34.00       35.16       0.15        107.4       0.068       11.39       0.05        
76906          PGC076906                         PGC076906                        G             109.07      -25.13      35.16       0.15        107.4       0.068       11.40       0.10        
602597         PGC602597                         PGC602597                        G             140.28      -39.03      35.16       0.15        107.4       0.068       11.42       0.13        
127416         PGC127416                         PGC127416                        G             15.19       -62.54      35.16       0.15        107.4       0.069       11.42       0.10        
18884          PGC018884                         PGC018884                        G             95.42       10.42       35.16       0.15        107.4       0.068       11.43       0.06        
133431         PGC133431                         PGC133431                        G             339.88      -30.31      35.16       0.15        107.4       0.068       11.44       0.10        
70524          PGC070524                         PGC070524                        G             346.86      -5.16       35.16       0.15        107.4       0.068       11.45       0.13        
32972          PGC032972                         PGC032972                        G             164.50      40.83       35.16       0.15        107.4       0.068       11.46       0.11        
3597458        2MASXJ00315237-2643092            2MASXJ00315237-2643092           G             7.97        -26.72      35.16       0.15        107.4       0.068       11.47       0.23        
60526          PGC060526                         PGC060526                        G             263.73      20.59       35.16       0.15        107.4       0.068       11.47       0.04        
51205          PGC051205                         PGC051205                        G             214.93      11.62       35.16       0.15        107.4       0.068       11.47       0.08        
24584          PGC024584                         PGC024584                        G             131.29      54.98       35.16       0.15        107.4       0.068       11.50       0.13        
56390          PGC056390                         PGC056390                        G             238.88      -0.83       35.16       0.15        107.4       0.068       11.50       0.07        
44760          PGC044760                         PGC044760                        G             195.12      26.68       35.16       0.15        107.4       0.068       11.50       0.06        
11027          PGC011027                         PGC011027                        G             43.83       6.12        35.16       0.15        107.4       0.068       11.51       0.06        
50709          UGC09084                          UGC09084                         G             213.05      8.66        35.16       0.15        107.4       0.068       11.51       0.08        
2004919        PGC2004834                        PGC2004834                       G             102.95      32.62       35.16       0.15        107.4       0.068       11.52       0.04        
937894         PGC937894                         PGC937894                        G             75.30       -13.45      35.16       0.15        107.4       0.068       11.53       0.07        
165721         PGC165721                         PGC165721                        G             258.01      -1.38       35.16       0.15        107.4       0.068       11.53       0.03        
2153072        PGC2153051                        PGC2153051                       G             53.00       39.63       35.16       0.15        107.4       0.068       11.54       0.03        
59259          UGC10611                          UGC10611                         G             253.79      36.91       35.16       0.15        107.4       0.068       11.54       0.11        
23188          PGC023188                         PGC023188                        G             124.08      43.45       35.16       0.15        107.4       0.068       11.54       0.06        
751941         PGC751941                         PGC751941                        G             96.90       -27.64      35.16       0.15        107.4       0.068       11.54       0.16        
2017409        PGC2017409                        PGC2017409                       G             169.42      32.92       35.16       0.15        107.4       0.068       11.54       0.07        
203812         PGC203812                         PGC203812                        G             289.38      -2.28       35.16       0.15        107.4       0.068       11.55       0.08        
20             PGC000020                         PGC000020                        G             0.05        1.12        35.16       0.15        107.4       0.068       11.56       0.08        
131475         PGC131475                         PGC131475                        G             309.81      -38.01      35.16       0.15        107.4       0.068       11.56       0.10        
3693044        2MASXJ05065733-7304540            2MASXJ05065733-7304540           G             76.74       -73.08      35.16       0.15        107.4       0.068       11.56       0.11        
28467          PGC028467                         PGC028467                        G             148.25      19.63       35.16       0.15        107.4       0.068       11.57       0.04        
138552         PGC138552                         PGC138552                        G             44.12       47.19       35.16       0.15        107.4       0.068       11.58       0.11        
2817091        PGC2817091                        PGC2817091                       G             265.91      86.47       35.16       0.15        107.4       0.068       11.58       0.06        
38594          PGC038594                         PGC038594                        G             182.26      32.67       35.16       0.15        107.4       0.068       11.58       0.06        
1368301        PGC1368301                        PGC1368301                       G             44.09       9.67        35.16       0.15        107.4       0.068       11.59       0.03        
3097813        PGC3097813                        PGC3097813                       G             214.62      -27.42      35.16       0.15        107.4       0.068       11.59       0.13        
3636991        2MASXJ02241402+1703569            2MASXJ02241402+1703569           G             36.06       17.07       35.16       0.15        107.4       0.068       11.60       0.05        
50403          PGC050403                         PGC050403                        G             211.94      7.22        35.16       0.15        107.4       0.068       11.60       0.10        
59878          PGC059878                         PGC059878                        G             258.41      51.16       35.16       0.15        107.4       0.068       11.62       0.06        
5060896        2MASXJ05432495+1118120            2MASXJ05432495+1118120           G             85.85       11.30       35.16       0.15        107.4       0.068       11.62       0.07        
5056           UGC00929                          UGC00929                         G             20.81       -0.39       35.16       0.15        107.4       0.068       11.62       0.17        
56257          UGC10067                          UGC10067                         G             237.99      -1.25       35.16       0.15        107.4       0.068       11.62       0.10        
67441          UGC11824                          UGC11824                         G             327.54      30.82       35.16       0.15        107.4       0.068       11.63       0.06        
19632          UGC03544                          UGC03544                         G             102.04      33.57       35.16       0.15        107.4       0.068       11.63       0.18        
158115         PGC158115                         PGC158115                        G             191.76      -24.25      35.16       0.15        107.4       0.068       11.63       0.06        
5060807        2MASXJ17125738-2358196            2MASXJ17125738-2358196           G             258.24      -23.97      35.16       0.15        107.4       0.068       11.66       0.08        
726737         PGC726737                         PGC726737                        G             292.00      -29.65      35.16       0.15        107.4       0.068       11.69       0.12        
427338         PGC427338                         PGC427338                        G             294.84      -53.68      35.16       0.15        107.4       0.068       11.69       0.05        
231645         PGC231645                         PGC231645                        G             103.97      -78.88      35.16       0.15        107.4       0.068       11.69       0.05        
5060827        2MASXJ03575068+3823079            2MASXJ03575068+3823079           G             59.46       38.39       35.16       0.15        107.4       0.068       11.70       0.05        
128916         PGC128916                         PGC128916                        G             326.65      -53.69      35.16       0.15        107.4       0.068       11.70       0.16        
27624          PGC027624                         PGC027624                        G             145.19      21.23       35.16       0.15        107.4       0.068       11.73       0.08        
44268          PGC044268                         PGC044268                        G             194.29      27.47       35.16       0.12        107.5       0.053       11.16       0.04        
48128          NGC5246                           NGC5246                          G             204.37      4.10        35.16       0.04        107.6       0.020       11.05       0.12        
44975          PGC044975                         PGC044975                        G             195.54      28.39       35.16       0.12        107.6       0.053       11.08       0.11        
38012          UGC07016                          UGC07016                         G             180.60      14.84       35.16       0.14        107.8       0.065       10.11       0.05        
59769          UGC10738                          UGC10738                         G             257.77      5.85        35.17       0.08        107.9       0.038       10.21       0.03        
69825          NGC7386                           NGC7386                          G             342.51      11.70       35.17       0.15        108.0       0.068       9.44        0.05        
47822          NGC5223                           NGC5223                          G             203.61      34.69       35.17       0.15        108.0       0.067       9.50        0.05        
1999078        PGC1999078                        PGC1999078                       G             92.20       32.48       35.17       0.15        108.0       0.068       9.54        0.03        
200509         PGC200509                         PGC200509                        G             263.93      -7.35       35.17       0.15        108.0       0.068       9.66        0.40        
34688          NGC3638                           NGC3638                          G             170.04      -8.11       35.17       0.15        108.0       0.068       9.71        0.06        
12975          UGC02755                          UGC02755                         G             52.35       39.79       35.17       0.15        108.0       0.068       9.81        0.04        
10422          NGC1099                           NGC1099                          G             41.33       -17.71      35.17       0.15        108.0       0.067       9.89        0.07        
567246         PGC567246                         PGC567246                        G             238.39      -42.18      35.17       0.15        108.0       0.067       9.93        0.04        
38365          NGC4098                           NGC4098                          G             181.51      20.61       35.17       0.15        108.0       0.067       9.97        0.05        
50809          NGC5514                           NGC5514                          G             213.41      7.66        35.17       0.15        108.0       0.067       9.98        0.05        
13556          NGC1410                           NGC1410                          G             55.29       -1.30       35.17       0.15        108.0       0.068       10.04       0.13        
10547          UGC02249                          UGC02249                         G             41.85       45.53       35.17       0.15        108.0       0.068       10.06       0.10        
7745           PGC007745                         PGC007745                        G             30.55       -69.45      35.17       0.15        108.0       0.068       10.09       0.12        
38306          UGC07084                          UGC07084                         G             181.41      33.10       35.17       0.15        108.0       0.068       10.14       0.06        
49792          NGC5392                           NGC5392                          G             209.85      -3.21       35.17       0.15        108.0       0.067       10.16       0.06        
26950          NGC2898                           NGC2898                          G             142.44      2.06        35.17       0.15        108.0       0.068       10.19       0.05        
12415          UGC02674                          UGC02674                         G             49.93       9.75        35.17       0.15        108.0       0.067       10.21       0.04        
592507         PGC592507                         PGC592507                        G             237.52      -39.92      35.17       0.15        108.0       0.068       10.27       0.10        
944791         PGC944791                         PGC944791                        G             231.75      -12.98      35.17       0.15        108.0       0.067       10.36       0.09        
53399          PGC053399                         PGC053399                        G             224.07      -37.73      35.17       0.15        108.0       0.067       10.39       0.08        
1653645        PGC1653645                        PGC1653645                       G             42.27       21.61       35.17       0.15        108.0       0.068       10.39       0.05        
69739          UGC12190                          UGC12190                         G             342.03      28.29       35.17       0.15        108.0       0.067       10.40       0.06        
45560          IC0853                            IC0853                           G             197.17      52.77       35.17       0.15        108.0       0.067       10.43       0.13        
42823          NGC4655                           NGC4655                          G             190.90      41.02       35.17       0.15        108.0       0.068       10.44       0.08        
49644          NGC5412                           NGC5412                          G             209.31      73.62       35.17       0.15        108.0       0.068       10.44       0.07        
67528          ESO048-009                        ESO048-009                       G             328.05      -74.69      35.17       0.15        108.0       0.069       10.45       0.11        
23989          PGC023989                         PGC023989                        G             128.30      41.09       35.17       0.15        108.0       0.068       10.45       0.07        
3812           IC1615                            IC1615                           G             16.03       -51.13      35.17       0.15        108.0       0.068       10.46       0.08        
2607686        PGC2607686                        PGC2607686                       G             77.62       60.84       35.17       0.15        108.0       0.067       10.51       0.05        
66019          NGC7004                           NGC7004                          G             316.01      -49.11      35.17       0.15        108.0       0.067       10.53       0.06        
64126          PGC064126                         PGC064126                        G             301.74      -34.55      35.17       0.15        108.0       0.067       10.56       0.09        
47801          PGC047801                         PGC047801                        G             203.56      9.64        35.17       0.15        108.0       0.067       10.57       0.07        
20193          IC2176                            IC2176                           G             106.88      32.47       35.17       0.15        108.0       0.068       10.57       0.03        
69622          PGC069622                         PGC069622                        G             341.05      9.42        35.17       0.15        108.0       0.068       10.58       0.06        
25622          PGC025622                         PGC025622                        G             136.81      37.50       35.17       0.15        108.0       0.067       10.58       0.11        
204574         PGC204574                         PGC204574                        G             294.41      2.57        35.17       0.15        108.0       0.068       10.60       0.07        
70685          PGC070685                         PGC070685                        G             348.08      -1.53       35.17       0.15        108.0       0.068       10.61       0.08        
69048          PGC069048                         PGC069048                        G             337.81      -17.33      35.17       0.15        108.0       0.068       10.62       0.08        
4684201        6dFJ1716306-061433                6dFJ1716306-061433               G             259.13      -6.24       35.17       0.15        108.0       0.068       10.63       0.07        
38288          NGC4090                           NGC4090                          G             181.37      20.31       35.17       0.15        108.0       0.067       10.65       0.07        
19887          ESO087-057                        ESO087-057                       G             104.02      -67.31      35.17       0.15        108.0       0.068       10.69       0.07        
2926           ESO195-005                        ESO195-005                       G             12.53       -52.12      35.17       0.15        108.0       0.068       10.70       0.08        
50537          NGC5487                           NGC5487                          G             212.43      8.07        35.17       0.15        108.0       0.067       10.71       0.10        
63252          UGC11445                          UGC11445                         G             292.18      56.69       35.17       0.15        108.0       0.067       10.72       0.08        
22729          ESO494-024                        ESO494-024                       G             121.46      -25.98      35.17       0.15        108.0       0.067       10.74       0.08        
2308585        PGC2308585                        PGC2308585                       G             28.65       48.00       35.17       0.15        108.0       0.067       10.76       0.02        
96563          PGC096563                         PGC096563                        G             230.21      -40.14      35.17       0.15        108.0       0.068       10.76       0.06        
68746          ESO533-024                        ESO533-024                       G             335.93      -26.61      35.17       0.15        108.0       0.068       10.77       0.10        
2577           NGC0229                           NGC0229                          G             10.77       23.51       35.17       0.15        108.0       0.068       10.78       0.07        
24962          ESO496-015                        ESO496-015                       G             133.39      -26.03      35.17       0.15        108.0       0.068       10.79       0.07        
23911          UGC04449                          UGC04449                         G             127.86      40.96       35.17       0.15        108.0       0.067       10.80       0.12        
70192          UGC12290                          UGC12290                         G             344.91      24.85       35.17       0.15        108.0       0.067       10.82       0.06        
14845          PGC014845                         PGC014845                        G             64.70       3.23        35.17       0.15        108.0       0.068       10.82       0.04        
6744           PGC006744                         PGC006744                        G             27.52       47.89       35.17       0.15        108.0       0.068       10.84       0.04        
14801          PGC014801                         PGC014801                        G             64.30       10.46       35.17       0.15        108.0       0.068       10.84       0.03        
34521          UGC06311                          UGC06311                         G             169.48      -2.09       35.17       0.15        108.0       0.068       10.85       0.17        
66774          NGC7065A                          NGC7065A                         G             321.74      -7.02       35.17       0.15        108.0       0.067       10.86       0.28        
32050          PGC032050                         PGC032050                        G             161.16      56.37       35.17       0.15        108.0       0.067       10.87       0.08        
2764           IC1585                            IC1585                           G             11.81       23.05       35.17       0.15        108.0       0.068       10.88       0.09        
60382          UGC10883                          UGC10883                         G             262.32      52.19       35.17       0.15        108.0       0.067       10.90       0.07        
3087366        PGC3087366                        PGC3087366                       G             302.91      50.48       35.17       0.15        108.0       0.068       10.90       0.04        
204497         PGC204497                         PGC204497                        G             293.79      -5.24       35.17       0.15        108.0       0.068       10.90       0.07        
69617          PGC069617                         PGC069617                        G             341.04      10.07       35.17       0.15        108.0       0.067       10.91       0.08        
27121          IC2490                            IC2490                           G             143.27      29.93       35.17       0.15        108.0       0.067       10.92       0.06        
39599          PGC039599                         PGC039599                        G             184.74      43.61       35.17       0.15        108.0       0.067       10.94       0.05        
50203          UGC08993                          UGC08993                         G             211.22      -0.64       35.17       0.15        108.0       0.067       10.97       0.14        
16923          PGC016923                         PGC016923                        G             78.20       -2.23       35.17       0.15        108.0       0.068       10.97       0.11        
50094          PGC050094                         PGC050094                        G             210.90      -2.13       35.17       0.15        108.0       0.067       10.98       0.09        
1448054        PGC1448054                        PGC1448054                       G             87.10       14.06       35.17       0.15        108.0       0.067       10.99       0.05        
68986          PGC068986                         PGC068986                        G             337.41      -19.75      35.17       0.15        108.0       0.068       11.00       0.08        
4895           UGC00880                          UGC00880                         G             20.28       42.85       35.17       0.15        108.0       0.067       11.01       0.11        
62217          PGC062217                         PGC062217                        G             279.99      40.03       35.17       0.15        108.0       0.068       11.01       0.15        
9387           PGC009387                         PGC009387                        G             37.04       0.80        35.17       0.15        108.0       0.068       11.02       0.12        
69429          UGC12134                          UGC12134                         G             339.91      11.77       35.17       0.15        108.0       0.067       11.02       0.19        
3097181        PGC3097181                        PGC3097181                       G             243.22      -25.67      35.17       0.15        108.0       0.068       11.02       0.05        
2071564        PGC068395                         PGC068395                        G             333.76      35.89       35.17       0.15        108.0       0.068       11.05       0.09        
49253          IC4337                            IC4337                           G             208.08      14.27       35.17       0.15        108.0       0.068       11.06       0.06        
1853340        PGC1853340                        PGC1853340                       G             349.73      29.02       35.17       0.15        108.0       0.067       11.06       0.11        
83488          PGC083488                         PGC083488                        G             176.50      20.44       35.17       0.15        108.0       0.067       11.09       0.05        
5061222        2MASXJ20063260+0640454            2MASXJ20063260+0640454           G             301.64      6.68        35.17       0.15        108.0       0.068       11.09       0.09        
25378          PGC025378                         PGC025378                        G             135.58      63.81       35.17       0.15        108.0       0.067       11.10       0.10        
61847          PGC061847                         PGC061847                        G             276.26      31.41       35.17       0.15        108.0       0.068       11.10       0.03        
47246          PGC047246                         PGC047246                        G             202.03      56.05       35.17       0.15        108.0       0.067       11.10       0.10        
47850          PGC047850                         PGC047850                        G             203.67      32.95       35.17       0.15        108.0       0.067       11.11       0.04        
3094703        PGC3094703                        PGC3094703                       G             89.86       -16.99      35.17       0.15        108.0       0.068       11.13       0.08        
34727          PGC034727                         PGC034727                        G             170.16      -4.75       35.17       0.15        108.0       0.068       11.14       0.11        
10921          PGC010921                         PGC010921                        G             43.38       6.47        35.17       0.15        108.0       0.067       11.14       0.07        
153248         PGC153248                         PGC153248                        G             133.41      -25.06      35.17       0.15        108.0       0.067       11.14       0.08        
29236          PGC029236                         PGC029236                        G             151.20      46.72       35.17       0.15        108.0       0.067       11.14       0.12        
38420          PGC038420                         PGC038420                        G             181.71      20.82       35.17       0.15        108.0       0.068       11.14       0.08        
38236          PGC038236                         PGC038236                        G             181.19      49.19       35.17       0.15        108.0       0.067       11.15       0.06        
9072           PGC009072                         PGC009072                        G             35.83       53.39       35.17       0.15        108.0       0.068       11.15       0.10        
613223         PGC613223                         PGC613223                        G             222.65      -38.09      35.17       0.15        108.0       0.068       11.16       0.07        
41671          IC3488                            IC3488                           G             188.29      26.35       35.17       0.15        108.0       0.067       11.20       0.07        
62900          ESO459-007                        ESO459-007                       G             288.11      -29.04      35.17       0.15        108.0       0.068       11.20       0.06        
1370446        PGC1370446                        PGC1370446                       G             88.53       9.81        35.17       0.15        108.0       0.068       11.21       0.04        
2693           ESO150-022                        ESO150-022                       G             11.54       -55.57      35.17       0.15        108.0       0.067       11.21       0.11        
5061243        2MASXJ16333109-3255199            2MASXJ16333109-3255199           G             248.38      -32.92      35.17       0.15        108.0       0.067       11.23       0.06        
33433          UGC06127                          UGC06127                         G             166.01      49.82       35.17       0.15        108.0       0.067       11.23       0.10        
64958          ESO528-018                        ESO528-018                       G             308.38      -24.62      35.17       0.15        108.0       0.068       11.25       0.11        
17575          PGC017575                         PGC017575                        G             85.08       11.48       35.17       0.15        108.0       0.067       11.26       0.05        
22161          PGC022161                         PGC022161                        G             118.69      55.55       35.17       0.15        108.0       0.068       11.26       0.15        
127935         PGC127935                         PGC127935                        G             41.37       -62.13      35.17       0.15        108.0       0.068       11.27       0.25        
1395           ESO539-008                        ESO539-008                       G             5.41        -19.68      35.17       0.15        108.0       0.068       11.28       0.06        
160574         PGC160574                         PGC160574                        G             233.60      -11.30      35.17       0.15        108.0       0.068       11.31       0.06        
40776          PGC040776                         PGC040776                        G             186.75      8.96        35.17       0.15        108.0       0.068       11.31       0.06        
3089189        PGC3089189                        PGC3089189                       G             349.69      29.38       35.17       0.15        108.0       0.067       11.32       0.12        
19979          UGC03624                          UGC03624                         G             104.95      27.57       35.17       0.15        108.0       0.067       11.32       0.05        
28321          PGC028321                         PGC028321                        G             147.61      1.58        35.17       0.15        108.0       0.067       11.32       0.14        
69552          PGC069552                         PGC069552                        G             340.66      29.51       35.17       0.15        108.0       0.067       11.32       0.07        
46914          IC4244                            IC4244                           G             201.23      26.46       35.17       0.15        108.0       0.067       11.33       0.07        
165709         PGC165709                         PGC165709                        G             255.34      -11.56      35.17       0.15        108.0       0.068       11.33       0.08        
1275           ESO350-009                        ESO350-009                       G             4.95        -34.47      35.17       0.15        108.0       0.067       11.35       0.10        
44411          UGC08095                          UGC08095                         G             194.55      71.42       35.17       0.15        108.0       0.068       11.35       0.04        
37310          PGC037310                         PGC037310                        G             178.47      13.28       35.17       0.15        108.0       0.067       11.38       0.06        
29789          NGC3150                           NGC3150                          G             153.36      38.66       35.17       0.15        108.0       0.068       11.40       0.06        
57104          IC1201                            IC1201                           G             241.42      69.59       35.17       0.15        108.0       0.068       11.40       0.05        
7801           UGC01532                          UGC01532                         G             30.75       45.02       35.17       0.15        108.0       0.067       11.40       0.04        
14528          PGC014528                         PGC014528                        G             62.10       -1.08       35.17       0.15        108.0       0.068       11.40       0.08        
68756          PGC068756                         PGC068756                        G             335.98      15.25       35.17       0.15        108.0       0.067       11.41       0.04        
706184         PGC706184                         PGC706184                        G             194.38      -31.35      35.17       0.15        108.0       0.068       11.42       0.14        
1092125        PGC1092125                        PGC1092125                       G             358.76      -2.43       35.17       0.15        108.0       0.068       11.42       0.12        
90340          PGC090340                         PGC090340                        G             297.27      -10.50      35.17       0.15        108.0       0.068       11.42       0.06        
129855         PGC129855                         PGC129855                        G             332.09      -47.74      35.17       0.15        108.0       0.068       11.43       0.09        
28770          UGC05346                          UGC05346                         G             149.42      45.26       35.17       0.15        108.0       0.067       11.43       0.15        
35887          ESO063-016                        ESO063-016                       G             174.06      -70.81      35.17       0.15        108.0       0.068       11.44       0.17        
97093          PGC097093                         PGC097093                        G             82.33       55.78       35.17       0.15        108.0       0.067       11.44       0.14        
69597          UGC12168                          UGC12168                         G             340.92      6.12        35.17       0.15        108.0       0.068       11.45       0.03        
727679         PGC727679                         PGC727679                        G             290.66      -29.58      35.17       0.15        108.0       0.068       11.45       0.08        
38296          ESO440-048                        ESO440-048                       G             181.39      -30.16      35.17       0.15        108.0       0.067       11.49       0.15        
1210712        PGC1210712                        PGC1210712                       G             300.26      1.94        35.17       0.15        108.0       0.067       11.50       0.08        
1445924        PGC1445924                        PGC1445924                       G             64.07       13.98       35.17       0.15        108.0       0.067       11.51       0.10        
26245          PGC026245                         PGC026245                        G             139.41      -7.91       35.17       0.15        108.0       0.067       11.51       0.14        
3089775        PGC3089775                        PGC3089775                       G             183.48      21.76       35.17       0.15        108.0       0.067       11.52       0.19        
1029           ESO473-006                        ESO473-006                       G             3.84        -24.06      35.17       0.15        108.0       0.068       11.53       0.04        
2791112        PGC2791112                        PGC2791112                       G             130.26      -54.35      35.17       0.15        108.0       0.068       11.55       0.05        
5060753        2MASXJ05164339+4715020            2MASXJ05164339+4715020           G             79.18       47.25       35.17       0.15        108.0       0.068       11.55       0.07        
59202          PGC059202                         PGC059202                        G             253.35      2.59        35.17       0.15        108.0       0.069       11.57       0.04        
64123          PGC064123                         PGC064123                        G             301.74      -34.55      35.17       0.15        108.0       0.068       11.57       0.19        
165667         PGC165667                         PGC165667                        G             232.62      -10.35      35.17       0.15        108.0       0.068       11.58       0.04        
60550          PGC060550                         PGC060550                        G             264.07      22.89       35.17       0.15        108.0       0.068       11.58       0.03        
1091448        PGC1091448                        PGC1091448                       G             261.89      -2.46       35.17       0.15        108.0       0.068       11.59       0.04        
