PGC            HYPERLEDA_NAME                    COUNTERPART_NAME                 OBJECT_TYPE   RA          DEC         (m-M)       ERR_(m-M)    DL[Mpc]     ERR_LN(DL)  Kt          ERR_Kt      
39423          NGC4242                           NGC4242                          G             184.38      45.62       28.71       0.26        5.53        0.120       9.12        0.06        
42408          NGC4605                           NGC4605                          G             190.00      61.61       28.72       0.01        5.54        0.005       7.82        0.14        
12460          NGC1311                           NGC1311                          G             50.03       -52.19      28.72       0.02        5.55        0.007       11.17       0.35        
16282          NGC1705                           NGC1705                          G             73.56       -53.36      28.79       0.03        5.73        0.014       11.37       0.84        
10217          PGC010217                         Maffei2                          G             40.48       59.60       28.79       0.12        5.73        0.056       6.82        0.10        
57888          ESO137-018                        ESO137-018                       G             245.25      -60.49      28.84       0.06        5.87        0.025       9.77        0.79        
13163          IC1959                            IC1959                           G             53.30       -50.41      28.95       0.03        6.17        0.012       10.91       0.44        
60921          NGC6503                           NGC6503                          G             267.36      70.14       28.99       0.03        6.27        0.013       7.32        0.07        
53639          ESO223-009                        ESO223-009                       G             225.29      -48.29      29.00       0.02        6.31        0.007       9.39        0.09        
41746          NGC4523                           NGC4523                          G             188.45      15.17       29.03       0.20        6.40        0.092       11.06       0.32        
17716          PGC017716                         PGC017716                        G             86.26       5.07        29.05       0.70        6.46        0.322       10.94       0.08        
43255          NGC4707                           NGC4707                          G             192.09      51.17       29.07       0.10        6.52        0.046       11.73       0.10        
9892           PGC009892                         Maffei1                          G             39.15       59.65       29.08       0.15        6.55        0.069       5.55        0.10        
31122          NGC3274                           NGC3274                          G             158.07      27.67       29.08       0.20        6.55        0.092       10.83       0.16        
45849          NGC5023                           NGC5023                          G             198.05      44.04       29.09       0.03        6.58        0.014       9.87        0.22        
930            NGC0045                           NGC0045                          G             3.52        -23.18      29.11       0.06        6.64        0.026       9.43        0.45        
14897          NGC1566                           NGC1566                          G             65.00       -54.94      29.13       1.16        6.70        0.532       6.92        0.10        
34554          NGC3621                           NGC3621                          G             169.57      -32.81      29.13       0.02        6.70        0.009       6.63        0.10        
65001          NGC6946                           NGC6946                          G             308.72      60.15       29.14       0.05        6.72        0.022       5.39        0.07        
50216          NGC5474                           NGC5474                          G             211.26      53.66       29.18       0.10        6.86        0.044       9.56        0.18        
23040          NGC2537                           NGC2537                          G             123.31      45.99       29.19       0.20        6.89        0.092       9.19        0.12        
38688          NGC4144                           NGC4144                          G             182.49      46.46       29.19       0.03        6.89        0.012       9.58        0.28        
47847          ESO270-017                        ESO270-017                       G             203.70      -45.55      29.21       0.05        6.95        0.023       8.92        0.98        
22746          ESO494-026                        ESO494-026                       G             121.55      -27.53      29.22       0.56        7.00        0.260       8.25        0.10        
50063          NGC5457                           NGC5457                          G             210.80      54.35       29.26       0.01        7.11        0.005       5.63        0.24        
42002          NGC4559                           NGC4559                          G             188.99      27.96       29.27       0.25        7.15        0.114       7.68        0.20        
6595           NGC0672                           NGC0672                          G             26.97       27.43       29.29       0.03        7.21        0.013       8.70        0.25        
49448          UGC08837                          UGC08837                         G             208.69      53.90       29.30       0.01        7.24        0.005       11.04       0.07        
39918          UGC07408                          UGC07408                         G             185.31      45.81       29.31       0.02        7.28        0.008       11.66       0.44        
701            NGC0024                           NGC0024                          G             2.48        -24.96      29.32       0.03        7.31        0.012       8.71        0.71        
42637          NGC4631                           NGC4631                          G             190.53      32.54       29.33       0.02        7.35        0.008       6.48        0.07        
27978          NGC2997                           NGC2997                          G             146.41      -31.19      29.36       0.68        7.44        0.311       6.47        0.13        
47413          NGC5195                           NGC5195                          G             202.50      47.27       29.40       0.27        7.58        0.124       6.28        0.09        
39600          NGC4258                           NGC4258                          G             184.74      47.30       29.41       0.01        7.61        0.005       5.48        0.07        
20445          UGC03755                          UGC03755                         G             108.47      10.52       29.43       0.03        7.69        0.015       11.72       0.32        
14475          NGC1518                           NGC1518                          G             61.71       -21.17      29.46       0.35        7.79        0.162       11.00       0.39        
26341          NGC2787                           NGC2787                          G             139.83      69.20       29.46       0.67        7.81        0.310       7.30        0.05        
11329          NGC1156                           NGC1156                          G             44.93       25.24       29.47       0.20        7.82        0.093       9.55        0.02        
71775          IC5332                            IC5332                           G             353.61      -36.10      29.52       2.03        8.02        0.935       8.85        0.31        
48937          PGC048937                         PGC048937                        G             206.99      -53.35      29.52       2.08        8.02        0.956       9.94        0.35        
16744          NGC1800                           NGC1800                          G             76.61       -31.95      29.52       2.05        8.02        0.946       10.27       0.11        
26259          NGC2835                           NGC2835                          G             139.47      -22.35      29.53       0.38        8.05        0.175       8.11        0.29        
42769          NGC4641                           NGC4641                          G             190.78      12.05       29.54       0.12        8.08        0.055       11.37       0.29        
45787          NGC5014                           NGC5014                          G             197.88      36.28       29.54       1.24        8.09        0.572       10.13       0.05        
24171          ESO495-021                        ESO495-021                       G             129.06      -26.41      29.58       0.07        8.24        0.032       9.03        0.09        
43330          NGC4700                           NGC4700                          G             192.28      -11.41      29.58       1.25        8.25        0.573       9.89        0.20        
38167          NGC4064                           NGC4064                          G             181.05      18.44       29.59       0.25        8.26        0.116       8.62        0.12        
41618          NGC4437                           NGC4437                          G             188.19      0.11        29.62       0.11        8.39        0.051       7.38        0.11        
18536          NGC2188                           NGC2188                          G             92.54       -34.11      29.62       0.06        8.39        0.028       11.44       0.37        
33410          NGC3513                           NGC3513                          G             165.94      -23.25      29.63       0.79        8.43        0.364       9.35        0.21        
13586          NGC1433                           NGC1433                          G             55.51       -47.22      29.64       0.35        8.49        0.161       7.10        0.12        
51210          NGC5585                           NGC5585                          G             214.95      56.73       29.65       0.16        8.49        0.076       9.68        0.27        
71220          NGC7640                           NGC7640                          G             350.53      40.85       29.65       0.11        8.50        0.049       8.70        0.22        
47404          NGC5194                           M51                              G             202.47      47.20       29.67       0.02        8.58        0.011       5.51        0.06        
12209          NGC1291                           NGC1291                          G             49.33       -41.11      29.67       1.95        8.59        0.896       5.68        0.08        
3810881        2MASXJ13370618-2953185            2MASXJ13370618-2953185           PG            204.28      -29.89      29.67       1.95        8.59        0.899       9.59        0.54        
2802336        PGC2802336                        PGC2802336                       G             112.53      -22.02      29.67       1.96        8.59        0.900       9.78        0.88        
14117          PGC014117                         PGC014117                        G             58.94       -42.37      29.67       1.89        8.59        0.869       9.93        0.09        
86046          PGC086046                         PGC086046                        G             111.34      -24.48      29.67       1.92        8.59        0.886       10.27       0.10        
2084           PGC002084                         PGC002084                        G             8.70        7.45        29.67       2.00        8.59        0.921       11.47       0.04        
131397         PGC131397                         PGC131397                        G             76.56       -38.05      29.67       1.92        8.59        0.886       11.59       0.21        
16643          ESO486-021                        ESO486-021                       G             75.83       -25.42      29.67       1.88        8.59        0.864       11.73       0.35        
42407          NGC4594                           M104                             G             190.00      -11.62      29.67       0.06        8.60        0.028       4.98        0.09        
46938          NGC5134                           NGC5134                          G             201.33      -21.13      29.73       1.61        8.84        0.741       8.21        0.03        
41363          NGC4488                           NGC4488                          G             187.71      8.36        29.78       0.75        9.02        0.345       9.45        0.12        
18396          ESO364-029                        ESO364-029                       G             91.44       -33.08      29.78       0.08        9.02        0.035       10.41       0.23        
13821          PGC013821                         PGC013821                        G             56.66       -16.55      29.78       0.67        9.03        0.307       9.78        0.05        
