BAT_NAME(BAT105)  HYPERLEDA_NAME             COUNTERPART_NAME           TYPE_AGN       RA        DEC       (m-M)     ERR_(m-M)   DL[Mpc]   ERR_LN(DL)   FLUX(14-195keV)[1E-12erg.cm-2.s-1] ERR_FLUX    FLAG_(m_M)_(Hyperleda/Ned)         
J0714.2+3518      UGC03752                   MCG+06-16-028              Sy1.9          108.55    35.32     34.19     0.23        68.9      0.106        19.2                               N/A         H                                  
J0116.3+3104      NGC0452                    NGC452                     Sy2            19.08     31.05     34.19     0.12        68.9      0.055        11.9                               N/A         H                                  
J1643.2+7036      NGC6232                    NGC6232                    Sy2            250.85    70.61     34.19     0.23        68.9      0.106        11.3                               N/A         H                                  
J1349.3-3018      IC4329A                    IC4329A                    Sy1.5          207.33    -30.31    34.21     0.23        69.5      0.106        263.3                              N/A         H                                  
J0744.0+2914      UGC03995                   UGC03995A                  Sy2            116.02    29.27     34.21     0.23        69.5      0.106        22.4                               N/A         H                                  
J1903.9+3349      UGC11397                   UGC11397                   Sy2            285.97    33.82     34.21     0.23        69.5      0.106        20.4                               N/A         H                                  
J2148.3-3454      NGC7130                    NGC7130                    Sy1.9          327.05    -34.93    34.21     0.23        69.5      0.106        17.4                               N/A         H                                  
J0230.2-0900      PGC009523                  Mrk1044                    Sy1            37.50     -9.05     34.21     0.23        69.5      0.106        11.9                               N/A         H                                  
J1457.8-4308      IC4518A                    IC4518A                    Sy2            224.46    -43.12    34.23     0.23        70.1      0.106        26.0                               N/A         H                                  
J0152.8-0329      PGC006966                  MCG-01-05-047              Sy2            28.20     -3.46     34.23     0.19        70.1      0.087        24.0                               N/A         H                                  
J0602.5+6518      UGC03386                   UGC03386                   Sy2            90.57     65.32     34.23     0.23        70.1      0.106        23.1                               N/A         H                                  
J0231.6-3645      IC1816                     IC1816                     Sy1.8          37.96     -36.69    34.23     0.22        70.1      0.101        21.0                               N/A         H                                  
J0252.7-0822      PGC010875                  MCG-02-08-014              Sy2            43.11     -8.50     34.24     0.22        70.5      0.101        25.0                               N/A         H                                  
J2303.3+0852      NGC7469                    NGC7469                    Sy1.5          345.82    8.87      34.25     0.05        70.8      0.023        70.6                               N/A         H                                  
J1824.3-5624      IC4709                     IC4709                     Sy2            276.07    -56.38    34.28     0.22        71.8      0.101        39.1                               N/A         H                                  
J1737.7-5956B     ESO139-012                 ESO139-G012                Sy2            264.43    -59.96    34.28     0.22        71.8      0.101        17.6                               N/A         H                                  
J0200.3+2428      UGC01479                   UGC01479                   Sy2            30.16     24.47     34.28     0.22        71.8      0.101        13.2                               N/A         H                                  
J1322.2-1641      PGC046718                  MCG-03-34-064              Sy1.9          200.61    -16.74    34.30     0.22        72.4      0.101        31.0                               N/A         H                                  
J0749.8+3359      IC2207                     IC2207                     UnknownAGN     117.45    33.98     34.30     0.19        72.4      0.087        13.9                               N/A         H                                  
J0201.5+5032      UGC01493A                  UGC01493A                  UnknownAGN     30.38     50.54     34.32     0.22        73.1      0.101        10.2                               N/A         H                                  
J0456.3-7532      ESO033-002                 ESO033-G002                Sy2            73.95     -75.51    34.35     0.21        74.1      0.097        24.5                               N/A         H                                  
J0127.5+1910      UGC01032                   Mrk359                     Sy1.5          21.91     19.17     34.35     0.21        74.1      0.097        13.6                               N/A         H                                  
J2328.9+0328      NGC7679                    NGC7679                    Sy2            352.20    3.55      34.37     0.21        74.8      0.097        18.8                               N/A         H                                  
J2112.3+1124      UGC11700                   UGC11700                   Sy2            318.08    11.40     34.37     0.21        74.8      0.097        10.3                               N/A         H                                  
J1451.0-5540A     N/A                        WKK4374                    Sy1.9          222.85    -55.68    34.38     0.15        75.2      0.069        25.2                               N/A         N                                  
J0655.8+3957      UGC03601                   UGC03601                   Sy1.9          103.93    39.99     34.39     0.21        75.5      0.097        18.2                               N/A         H                                  
J0510.7+1629      PGC016865                  IRAS05078+1626             Sy1.5          77.72     16.51     34.42     0.21        76.6      0.097        119.8                              N/A         H                                  
J1246.6+5435      NGC4686                    NGC4686                    Sy2            191.66    54.53     34.42     0.21        76.6      0.097        25.5                               N/A         H                                  
J1051.2-1704A     NGC3431                    NGC3431                    Sy2            162.83    -17.06    34.42     0.21        76.6      0.097        18.4                               N/A         H                                  
J1424.2+2435      NGC5610                    NGC5610                    Sy2            216.10    24.60     34.42     0.21        76.6      0.097        17.0                               N/A         H                                  
